Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
11-Feb-16,440.4,443.1,429,431.95,1731120,751457309.4
12-Feb-16,438,439.15,425.25,430,1443312,623024427.7
15-Feb-16,432.15,439.1,428.1,430.3,1888109,813885101.5
16-Feb-16,434.95,436.4,419.65,422.85,979478,419295591.7
17-Feb-16,422.35,431.5,415.15,429.55,1169666,494076916.2
18-Feb-16,434.95,435.9,422.9,429.4,1262032,542585364.3
19-Feb-16,428.6,442.55,426.55,440.5,1644603,715733835.8
22-Feb-16,440.55,441.9,426.55,431.7,1155619,498124444.2
23-Feb-16,431.7,432.4,424,428.6,1074713,459590784.8
24-Feb-16,425,428,418.35,422.05,822293,348211936.6
25-Feb-16,421.9,423.8,411,416.3,2406282,998935037.9
26-Feb-16,419.25,424.95,411.3,417.75,1912583,799227341.8
29-Feb-16,417.5,424,407.4,415.55,1555018,646765993.6
01-Mar-16,417,435,416,432.25,1570024,676700933.4
02-Mar-16,438.45,460.75,434.05,455.55,2339747,1059858871
03-Mar-16,459.7,464,452.2,461.75,2371409,1087317758
04-Mar-16,460,462,449.95,451.25,2756908,1260238070
08-Mar-16,455,459.55,445,448.85,2050957,922273857.6
09-Mar-16,443.9,467.5,442.1,464.15,4030260,1864404425
10-Mar-16,469.85,473.2,464.2,466.15,3266594,1534718855
11-Mar-16,467.95,470,455.6,458.05,1025718,471321597.5
14-Mar-16,460,472.3,458,470.2,5115313,2400118313
15-Mar-16,472.6,475.25,459,460.3,996244,463054671.9
16-Mar-16,457,469.15,456.5,465.8,1223337,564377827.2
17-Mar-16,471,490,471,486.75,2474194,1195727741
18-Mar-16,488,496,483.15,492.45,3064899,1508449128
21-Mar-16,492.45,498.4,486,490.1,1653354,810594863.6
22-Mar-16,490.1,492.75,480.2,484.2,2064995,1001253252
23-Mar-16,484,484.65,474.65,479.9,1458923,699413671.3
28-Mar-16,482,485.25,464,474.7,3609846,1700390679
29-Mar-16,475.1,479.85,464,467.6,2044000,963528816.5
30-Mar-16,471,478.8,465.75,472.85,3203825,1503191102
31-Mar-16,475,483,473.2,474.95,4630177,2206601899
01-Apr-16,476,476.05,460,463.1,2394963,1116167035
04-Apr-16,468,474,466.2,470.55,1708093,804180489.9
05-Apr-16,472.5,473,460.1,462.25,1430387,666277378.7
06-Apr-16,463.5,465.35,448.4,453,2671558,1209533139
07-Apr-16,454.8,459,442.9,444.45,1891494,853256060.5
08-Apr-16,444.4,457.8,444,455.85,2043759,924249843.7
11-Apr-16,455.85,471.4,451,469.6,1008816,465348240.8
12-Apr-16,469.75,472.7,460.1,464.45,1901106,883695350.6
13-Apr-16,469.5,472.6,465.9,471.4,1062026,498600181.3
18-Apr-16,475,482,472.25,476.7,1780726,847927660.8
20-Apr-16,480,488.5,476,483.55,1450742,702431101
21-Apr-16,484,486.5,474.1,476.35,1179377,567366101
22-Apr-16,477.05,487.75,474.6,479.9,2058353,995869438.6
25-Apr-16,481.8,484.7,469.1,472,784214,372287115.9
26-Apr-16,472.2,477,465.7,475.5,1123091,530896639.7
27-Apr-16,477,484.1,473.4,479.25,955123,458862535.4
28-Apr-16,480,483.8,468.2,480.15,4152895,1985382331
29-Apr-16,477,489,476,486.15,2295767,1111327567
02-May-16,485,485,475.6,477.2,1076011,514196366.2
03-May-16,477.2,483.4,465,467.2,1721645,816112228.7
04-May-16,464,471.1,459.7,466.95,1379336,640369515.1
05-May-16,466.8,482,465,479.35,1484568,705057671.3
06-May-16,475.2,479,470.4,473.05,948747,448695995.4
09-May-16,475.1,480.65,474,478.6,827632,395344131.6
10-May-16,479.45,485.6,475.65,482.7,2296911,1105448000
11-May-16,477.9,483.6,471.5,473.9,1749723,835153822.1
12-May-16,471.5,484.4,471.5,481.2,1123199,540455197.1
13-May-16,482,483.5,476.2,479.8,1078921,518137676.8
16-May-16,479,494.9,477.85,486.95,1732776,846689375.5
17-May-16,489,493.9,481.8,483.8,868879,422749814.6
18-May-16,481.05,486.25,480,484.75,1371699,663309815.1
19-May-16,484.2,487.5,481.15,484,1292336,625737429.7
20-May-16,482.3,489.45,474.85,475.85,741237,356712947.5
23-May-16,478.1,481,472.8,476.45,1069529,509793578.9
24-May-16,476,485.7,464.6,480.25,2610091,1237412310
25-May-16,499.1,532,494.5,528.5,10804773,5608317315
26-May-16,530,547,520.25,542.3,3270866,1745954182
27-May-16,539,541,533.6,535.9,1572528,844513164.7
30-May-16,535.8,564,535,543.55,2901801,1600689749
31-May-16,544.1,548,536.65,540.35,2896981,1563907083
01-Jun-16,541,543.2,537.3,540,1093756,590380715.9
02-Jun-16,537,552.5,537,546.15,1862166,1018326364
03-Jun-16,551.45,557.55,546.15,551.7,1706048,941887204.6
06-Jun-16,550.8,551.9,534.25,539.6,1614098,875082490.7
07-Jun-16,544.9,544.9,533.45,536.3,1763517,949017065
08-Jun-16,540,540,533,535.65,739380,396217526.4
09-Jun-16,537.9,537.9,528.3,534.45,1085142,576801098.7
10-Jun-16,535.7,540.45,530.75,537.55,565211,303525356.3
13-Jun-16,534.2,536.4,528.55,534.1,852440,453991105.5
14-Jun-16,531.05,537.4,528.5,533.3,736886,391709654.8
15-Jun-16,535,542,530,540.9,648970,347678245.9
16-Jun-16,537.05,543.35,530.5,533.1,1181394,630409460.1
17-Jun-16,533.1,542,532.3,535.25,946013,507849639.4
20-Jun-16,534,548.85,532.1,544.3,1592795,868094724.1
21-Jun-16,543.9,544.3,533,535,1344360,722184103.3
22-Jun-16,540.8,542,530.55,532.75,1211966,649054635.9
23-Jun-16,533.1,535,526.65,531.35,1027592,545573520.3
24-Jun-16,513,516.95,493.55,507.05,3567473,1795626519
27-Jun-16,499,509,499,504.65,1135682,572018192.1
